url,price,description,name
https://www.liveyoursport.com/products/technifibre-dynergy-117-senior-squash-racket,"Rs 7,049.00",,Technifibre Dynergy 117 Senior Squash Racket*
https://www.liveyoursport.com/products/prince-o3-speedport-hybrid-pro-squash-racket,"Rs 7,199.00","Weight:135g
Construction:Triple Threat with Tungsten and Graphite Extreme
Technologies:O3 Speedsport,WallGlider Bumper, Triple Threat, PowerRing, Air Handle",Prince O3 Speedport Hybrid Pro Squash Racket*
https://www.liveyoursport.com/products/prince-o3-hybrid-light-pro-130g-squash-racket,"Rs 7,199.00",,Prince O3 Hybrid Light Pro 130G Squash Racket*
https://www.liveyoursport.com/products/asics-gel-tactic-mens-black-onyx-silver,"Rs 7,605.50",,ASICS GEL-Tactic Men's Black/Onyx/Silver*
https://www.liveyoursport.com/products/salming-viper-2-0-mens-white-navy,"Rs 16,704.00",,Salming Viper 2.0 Men's White/Navy*
https://www.liveyoursport.com/products/salming-kobra-womens-diva-pink-turquoise,"Rs 18,044.00",,Salming Kobra Women's Diva Pink/Turquoise*
https://www.liveyoursport.com/products/salming-kobra-mens-magma-red-black,"Rs 18,044.00",,Salming Kobra Men's Magma Red/Black*
https://www.liveyoursport.com/products/harrow-vortex-mens-green-blue,"Rs 12,146.00",,Harrow Vortex Men's Green/Blue*
https://www.liveyoursport.com/products/ektelon-t22-mid-mens-white-black-silver,"Rs 9,249.30","  
Upper:
 Durable synthetic leather and air mesh upper provides light weight and breathability. Air mesh quarter, vamp and tongue ensure maximum ventilation. TPU forefoot straps provide a custom glove like fit while stabilizing the forefoot. RASH toe cap provides added abrasion protection for toe draggers.  ",Ektelon T22 Mid Men's White/Black/Silver*
https://www.liveyoursport.com/products/adidas-volley-light-high-mens,"Rs 18,022.00",,Adidas Volley Light High Men'S*
https://www.liveyoursport.com/products/babolat-pro-team-sp-overgrip-3-pack,"Rs 1,840.00",,Babolat Pro Team Sp Overgrip 3 Pack*
https://www.liveyoursport.com/products/head-prestige-pro-overgrip-3-pack,"Rs 1,736.00",,Head Prestige Pro Overgrip 3 Pack*
https://www.liveyoursport.com/products/tourna-grip-xl-overgrip-30-pack,"Rs 5,784.00",,Tourna Grip Xl Overgrips 30 Pack*
https://www.liveyoursport.com/products/wilson-pro-overgrip-sensation-12-pack,"Rs 3,706.00",,Wilson Pro Overgrip Sensation 12 Pack*
https://www.liveyoursport.com/products/prince-resipro-replacement-grip,Rs 521.80,,Prince ResiPro Replacement Grip*
https://www.liveyoursport.com/products/sb-920-db-yellow-dot,Rs 249.00,,SB-920-DB-YELLOW-DOT*
https://www.liveyoursport.com/products/harrow-3-squash-racket-bag,"Rs 2,720.00",,Harrow 3 Squash Racket Bag*
https://www.liveyoursport.com/products/cosco-tour-squash-racket-bag,Rs 539.00,,Cosco Tour Squash Racket Bag*
https://www.liveyoursport.com/products/prince-tour-team-backpack,"Rs 6,289.00",,Prince Tour Team Backpack*
