url,price,description,name
https://www.liveyoursport.com/products/technifibre-dynergy-117-senior-squash-racket,"Rs 7,049.00",,Technifibre Dynergy 117 Senior Squash Racket*
https://www.liveyoursport.com/products/artengo-760,"Rs 1,999.00",,ARTENGO-760*
https://www.liveyoursport.com/products/900-squash,"Rs 3,999.00",,900-SQUASH*
https://www.liveyoursport.com/products/900-a-sbs,"Rs 3,499.00",,900-A-SBS*
https://www.liveyoursport.com/products/900-a,"Rs 3,999.00",,900-A*
https://www.liveyoursport.com/products/800a-sbs,"Rs 2,999.00",,800A-SBS*
https://www.liveyoursport.com/products/800-p,"Rs 2,499.00",,800-P*
https://www.liveyoursport.com/products/730-j,Rs 999.00,,730-J*
https://www.liveyoursport.com/products/720-p,"Rs 1,799.00",,720-P-*
https://www.liveyoursport.com/products/prince-o3-speedport-hybrid-pro-squash-racket,"Rs 7,199.00","Weight:135g
Construction:Triple Threat with Tungsten and Graphite Extreme
Technologies:O3 Speedsport,WallGlider Bumper, Triple Threat, PowerRing, Air Handle",Prince O3 Speedport Hybrid Pro Squash Racket*
https://www.liveyoursport.com/products/tecnifibre-supreme-ruby-130-squash-racket,"Rs 7,989.00",,Tecnifibre Supreme Ruby 130 Squash Racket*
https://www.liveyoursport.com/products/adidas-volley-assault-womens-black-silver-metallic-frozen-yellow,"Rs 7,427.40",,adidas Volley Assault Women's Black/Silver Metallic/Frozen Yellow*
https://www.liveyoursport.com/products/karakal-xs-600-indoor-mens-blue-silver,"Rs 8,792.70",,Karakal XS-600 Indoor Men's Blue/Silver*
https://www.liveyoursport.com/products/adidas-adipower-stabil-11-mens-amazon-purple-white-flash-pink,"Rs 13,344.00",,Adidas Adipower Stabil 11 Men'S Amazon Purple/White/Flash Pink*
https://www.liveyoursport.com/products/asics-gel-netburner-ballistic-womens-columbia-blue-silver-navy,"Rs 8,792.70",,ASICS GEL-Netburner Ballistic Women's Columbia Blue/Silver/Navy*
https://www.liveyoursport.com/products/salming-race-r1-2-0-mens-safety-yellow,"Rs 14,916.00",,Salming Race R1 2.0 Men'S Safety Yellow*
https://www.liveyoursport.com/products/yonex-sc6-mens,"Rs 8,792.70",,Yonex SC6 Men's*
https://www.liveyoursport.com/products/yonex-sc4-lx-womens,"Rs 16,924.00",,Yonex Sc4-Lx Women'S*
https://www.liveyoursport.com/products/yonex-01-mx-mens,"Rs 18,572.00",,Yonex 01 Mx Men'S*
https://www.liveyoursport.com/products/yonex-01-lx-womens,"Rs 18,572.00",,Yonex 01 Lx Women'S*
https://www.liveyoursport.com/products/yonex-01-ltd-mens,"Rs 20,218.00",,Yonex 01 Ltd Men'S*
https://www.liveyoursport.com/products/wilson-recon-mens-fluo-yellow-black-red,"Rs 13,081.00",,Wilson Recon Men'S Fluo Yellow/Black/Red*
https://www.liveyoursport.com/products/saxon-sx900-mens-white-navy-silver,"Rs 8,792.70",,Saxon SX900 Men's White/Navy/Silver*
https://www.liveyoursport.com/products/salming-viper-mens-cyan-blue,"Rs 21,864.00",,Salming Viper Men'S Cyan Blue*
https://www.liveyoursport.com/products/salming-viper-2-0-mens-gecko-green,"Rs 11,167.10",,Salming Viper 2.0 Men's Gecko Green*
https://www.liveyoursport.com/products/salming-race-r9-mid-mens-gunmetal,"Rs 14,916.00",,Salming Race R9 Mid Men's Gunmetal*
https://www.liveyoursport.com/products/salming-race-r5-2-0-womens-purple,"Rs 12,682.00",,Salming Race R5 2.0 Women's Purple*
https://www.liveyoursport.com/products/salming-race-r2-3-0-mens-white,"Rs 14,022.00",,Salming Race R2 3.0 Men's White*
https://www.liveyoursport.com/products/salming-race-r2-3-0-mens-navy-safety-yellow,"Rs 14,022.00",,Salming Race R2 3.0 Men's Navy/Safety Yellow*
https://www.liveyoursport.com/products/salming-race-r2-2-0-mens-light-red,"Rs 13,358.90",,Salming Race R2 2.0 Men's Light Red*
https://www.liveyoursport.com/products/salming-race-r1-2-0-mens-purple,"Rs 14,916.00",,Salming Race R1 2.0 Men's Purple*
https://www.liveyoursport.com/products/salming-race-r1-2-0-mens-cyan-fluo-yellow,"Rs 14,916.00",,Salming Race R1 2.0 Men's Cyan/Fluo Yellow*
https://www.liveyoursport.com/products/prince-nfs-rally-mens-black-white-orange,"Rs 9,018.00",,Prince NFS Rally Men's Black/White/Orange*
